Site,ID,Gender,Ethnicity,Age_group,Occupation, business_location,Type_of_business,Arrangement_fishers,Which_service_you_provide_fishers,pounds_lobster_buy_last_month,pounds_conch_buy_last_month,pounds_snook_buy_last_month,pounds_barracuda_buy_last_month,pounds_snapper_buy_last_month,pounds_grouper_buy_last_month,pounds_jacks_buy_last_month,price_per_pound_lobster,price_per_pound_conch,price_per_pound_snook,price_per_pound_barracuda,price_per_pound_snapper,price_per_pound_grouper,price_per_pound_jacks,Where_ you_buy_lobster,Where_ you_buy_conch,Where_ you_buy_Finfish,Where_ you_buy_Other_option,average_selling_price_lobster,average_selling_price_conch,average_selling_price_snook,average_selling_price_barracuda,average_selling_price_snapper,average_selling_price_grouper,average_selling_price_wrasses,average_selling_price_jacks,Factors_considering_when_purchase_seafood
Caye_Caulker,ID1,Female,Creole,35 - 44,"Vendor, processer",21 cast cannel Vernon St,fish market and food fish shop,Yes,Ice,,,,,40,,,,,,,,,,wholesalers;fish market,,,,25,12.33,8,7,6.5,9,10,6.5,Price;quality;Sustainability;Availability
Caye_Caulker,SC 22,Female,Garifuna,>55,Retired,cook in restaurant,Restaurant,Yes,other,,,,,,,,,,,,,,,Local fisher,Local fisher,Local fisher,,8,5,3,6,6,6,,3,Availability
Caye_Caulker,SC 51,Female,Creole,45 - 54,Restaurant manager,Caye Caulker,Restaurant,Yes,other,60,20,,40,50,,,18,16,,12,12,,,Local fisher,Local fisher,Local fisher,,40,30,,30,40,,,,quality;Demand;Availability
Placencia,PLA 30,Male,Creole,35 - 44,Tour guide,Pt Placencia,Dive Shop,Yes,Credit;Ice,,10,,,20,30,10,,10,,,12,12,10,Local fisher,Local fisher,Local fisher,,30,10,12,7,12,12,,10,Price;quality;Sustainability
Placencia,PLA 1,Male,Creole,45 - 54,Fisher,Placencia,Fish market,No,,,,,,,,,,,,,,,,,,,I fish and sell my own catch,30,10,10,6,8,8,,5,Price;quality;Demand;Sustainability;Availability
Placencia,PLA 2,Female,Creole;East Indian,35 - 44,Massage therapist,Placencia,Sell fish caugth by her spouce,No,,,,,,,,,28,9,10,7,8,8,,other,Local fisher,other,it is caugth by her spouce,28,10,10,5,6,6,,5,Price;quality;Demand;Sustainability;Availability
