"Site","Age_group","Fisher_count_in_age_group","Total_fishers","Proportion"
"Caye_Caulker",">55",4,15,0.266666666666667
"Caye_Caulker","25 - 34",4,15,0.266666666666667
"Caye_Caulker","35 - 44",3,15,0.2
"Caye_Caulker","45 - 54",2,15,0.133333333333333
"Placencia","25 - 34",1,5,0.2
"Placencia","35 - 44",1,5,0.2
"Placencia","45 - 54",2,5,0.4
