"Site","Specie","average_profit","sd_profit"
"Caye_Caulker","Conch",505,621.590701346151
"Caye_Caulker","Finfish",352,196.265126805554
"Caye_Caulker","Lobster",589.843333333333,498.147114080436
"Placencia","Conch",877.5,751.237867345179
"Placencia","Finfish",806.25,726.399511288382
"Placencia","Lobster",858.25,972.919446819725
