"Site","Specie","average_monthly_effort","sd_montlhy_effort"
"Caye_Caulker","Conch",8.25,9.01981944703678
"Caye_Caulker","Finfish",10.7222222222222,9.7118198317537
"Caye_Caulker","Lobster",10.65,7.52791102793095
"Placencia","Conch",3.875,2.78013788626871
"Placencia","Finfish",8.25,8.53912563829967
"Placencia","Lobster",13.25,12.1483880960946
