"Site","Specie","average_catch_trip","sd_catch_trip"
"Caye_Caulker","Conch",57.25,65.1284445209179
"Caye_Caulker","Finfish",69,21.3307290077015
"Caye_Caulker","Lobster",47.90625,38.6245521240792
"Placencia","Conch",301.25,406.183968992705
"Placencia","Finfish",180.625,48.8353952920762
"Placencia","Lobster",106.25,60.6045927852557
