"Ethnicity","Caye_Caulker","Placencia"
"Creole",3,3
"Garifuna",1,1
"Maya",1,0
"Mestizo",3,0
"Mestizo, Creole",3,0
"Mestizo, Maya",1,0
NA,3,1
